"Ano-Mes"-01;"Clasificador";"Agregacion";"Variacion %"
"2023-05"-01;"Items";"Instalacion sanitaria y contraincendio";"9.0"
"2023-05"-01;"Items";"Instalacion de gas";"10.0"
"2023-05"-01;"Items";"Instalacion electrica";"9.5"
"2023-05"-01;"Items";"Carpinteria metalica y herreria";"9.9"
"2023-05"-01;"Items";"Carpinteria de madera";"9.6"
"2023-05"-01;"Items";"Ascensores";"8.3"
"2023-05"-01;"Items";"Vidrios";"10.0"
"2023-05"-01;"Items";"Pintura";"5.9"
"2023-05"-01;"Items";"Otros trabajos y gastos";"6.5"
"2023-06"-01;"Items";"Movimiento de tierras";"9.4"
"2023-06"-01;"Items";"Estructura";"4.7"
"2023-06"-01;"Items";"Albanileria";"4.6"
"2023-06"-01;"Items";"Yeseria";"4.1"
"2023-06"-01;"Items";"Instalacion sanitaria y contraincendio";"6.9"
"2023-06"-01;"Items";"Instalacion de gas";"10.1"
"2023-06"-01;"Items";"Instalacion electrica";"3.8"
"2023-06"-01;"Items";"Carpinteria metalica y herreria";"7.1"
"2023-06"-01;"Items";"Carpinteria de madera";"7.5"
"2023-06"-01;"Items";"Ascensores";"8.4"
"2023-06"-01;"Items";"Vidrios";"7.0"
"2023-06"-01;"Items";"Pintura";"4.9"
"2023-06"-01;"Items";"Otros trabajos y gastos";"11.3"
"2023-07"-01;"Items";"Movimiento de tierras";"7.7"
"2023-07"-01;"Items";"Estructura";"8.2"
"2023-07"-01;"Items";"Albanileria";"8.8"
"2023-07"-01;"Items";"Yeseria";"8.3"
"2023-07"-01;"Items";"Instalacion sanitaria y contraincendio";"8.2"
"2023-07"-01;"Items";"Instalacion de gas";"6.1"
"2023-07"-01;"Items";"Instalacion electrica";"8.6"
"2023-07"-01;"Items";"Carpinteria metalica y herreria";"6.9"
"2023-07"-01;"Items";"Carpinteria de madera";"8.1"
"2023-07"-01;"Items";"Ascensores";"9.4"
"2023-07"-01;"Items";"Vidrios";"6.5"
"2023-07"-01;"Items";"Pintura";"7.8"
"2023-07"-01;"Items";"Otros trabajos y gastos";"8.2"
"2023-08"-01;"Items";"Movimiento de tierras";"7.9"
"2023-08"-01;"Items";"Estructura";"13.4"
"2023-08"-01;"Items";"Albanileria";"11.8"
"2023-08"-01;"Items";"Yeseria";"15.6"
"2023-08"-01;"Items";"Instalacion sanitaria y contraincendio";"18.6"
"2023-08"-01;"Items";"Instalacion de gas";"24.2"
"2023-08"-01;"Items";"Instalacion electrica";"19.0"
"2023-08"-01;"Items";"Carpinteria metalica y herreria";"19.9"
"2023-08"-01;"Items";"Carpinteria de madera";"22.5"
"2023-08"-01;"Items";"Ascensores";"22.5"
"2023-08"-01;"Items";"Vidrios";"13.2"
"2023-08"-01;"Items";"Pintura";"19.8"
"2023-08"-01;"Items";"Otros trabajos y gastos";"9.0"
"2023-09"-01;"Items";"Movimiento de tierras";"16.6"
"2023-09"-01;"Items";"Estructura";"17.0"
"2023-09"-01;"Items";"Albanileria";"18.4"
"2023-09"-01;"Items";"Yeseria";"7.6"
"2023-09"-01;"Items";"Instalacion sanitaria y contraincendio";"10.3"
"2023-09"-01;"Items";"Instalacion de gas";"12.5"
"2023-09"-01;"Items";"Instalacion electrica";"8.0"
"2023-09"-01;"Items";"Carpinteria metalica y herreria";"8.5"
"2023-09"-01;"Items";"Carpinteria de madera";"10.2"
"2023-09"-01;"Items";"Ascensores";"11.6"
"2023-09"-01;"Items";"Vidrios";"11.7"
"2023-09"-01;"Items";"Pintura";"8.4"
"2023-09"-01;"Items";"Otros trabajos y gastos";"14.6"
"2023-10"-01;"Items";"Movimiento de tierras";"2.0"
"2023-10"-01;"Items";"Estructura";"3.5"
"2023-10"-01;"Items";"Albanileria";"2.6"
"2023-10"-01;"Items";"Yeseria";"13.6"
"2023-10"-01;"Items";"Instalacion sanitaria y contraincendio";"16.8"
"2023-10"-01;"Items";"Instalacion de gas";"12.5"
"2023-10"-01;"Items";"Instalacion electrica";"10.6"
"2023-10"-01;"Items";"Carpinteria metalica y herreria";"19.1"
"2023-10"-01;"Items";"Carpinteria de madera";"16.1"
"2023-10"-01;"Items";"Ascensores";"10.6"
"2023-10"-01;"Items";"Vidrios";"11.4"
"2023-10"-01;"Items";"Pintura";"10.8"
"2023-10"-01;"Items";"Otros trabajos y gastos";"6.3"
"2023-11"-01;"Items";"Movimiento de tierras";"13.9"
"2023-11"-01;"Items";"Estructura";"10.5"
"2023-11"-01;"Items";"Albanileria";"11.1"
"2023-11"-01;"Items";"Yeseria";"14.0"
"2023-11"-01;"Items";"Instalacion sanitaria y contraincendio";"11.5"
"2023-11"-01;"Items";"Instalacion de gas";"20.9"
"2023-11"-01;"Items";"Instalacion electrica";"10.9"
"2023-11"-01;"Items";"Carpinteria metalica y herreria";"8.7"
"2023-11"-01;"Items";"Carpinteria de madera";"11.1"
"2023-11"-01;"Items";"Ascensores";"16.7"
"2023-11"-01;"Items";"Vidrios";"12.0"
"2023-11"-01;"Items";"Pintura";"16.6"
"2023-11"-01;"Items";"Otros trabajos y gastos";"8.4"
"2023-12"-01;"Items";"Movimiento de tierras";"27.2"
"2023-12"-01;"Items";"Estructura";"31.8"
"2023-12"-01;"Items";"Albanileria";"21.4"
"2023-12"-01;"Items";"Yeseria";"28.6"
"2023-12"-01;"Items";"Instalacion sanitaria y contraincendio";"41.9"
"2023-12"-01;"Items";"Instalacion de gas";"50.5"
"2023-12"-01;"Items";"Instalacion electrica";"40.9"
"2023-12"-01;"Items";"Carpinteria metalica y herreria";"36.6"
"2023-12"-01;"Items";"Carpinteria de madera";"39.1"
"2023-12"-01;"Items";"Ascensores";"29.2"
"2023-12"-01;"Items";"Vidrios";"37.3"
"2023-12"-01;"Items";"Pintura";"46.2"
"2023-12"-01;"Items";"Otros trabajos y gastos";"14.7"
"2024-01"-01;"Items";"Movimiento de tierras";"13.5"
"2024-01"-01;"Items";"Estructura";"14.4"
"2024-01"-01;"Items";"Albanileria";"17.5"
"2024-01"-01;"Items";"Yeseria";"18.8"
"2024-01"-01;"Items";"Instalacion sanitaria y contraincendio";"20.1"
"2024-01"-01;"Items";"Instalacion de gas";"5.4"
"2024-01"-01;"Items";"Instalacion electrica";"8.8"
"2024-01"-01;"Items";"Carpinteria metalica y herreria";"10.1"
"2024-01"-01;"Items";"Carpinteria de madera";"12.8"
