periodo;nivel_general_aperturas;indice_icc
01/05/2024;12_p197ur@;924,398,710,277,116
01/05/2024;13_07r0$_7r@8@j0$_y_g@$70$;106,328,301,743,313
01/06/2024;1_50v1513970_d3_713rr@$;897,754,521,616,744
01/06/2024;2_3$7ruc7ur@;907,509,938,511,906
01/06/2024;3_@|8@91|3r1@;912,811,918,363,401
01/06/2024;4_y3$3r1@;1,050,487,041,738
01/06/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;112,420,009,758,437
01/06/2024;6_19$7@|@c109_d3_g@$;104,167,875,394,814
01/06/2024;7_19$7@|@c109_3|3c7r1c@;915,902,657,205,404
01/06/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;875,933,034,606,571
01/06/2024;9_c@rp1973r1@_d3_5@d3r@;107,549,268,356,701
01/06/2024;10_@$c39$0r3$;132,461,955,970,376
01/06/2024;11_v1dr10$;111,838,607,841,609
01/06/2024;12_p197ur@;958,654,795,793,877
01/06/2024;13_07r0$_7r@8@j0$_y_g@$70$;112,059,181,384,384
01/07/2024;1_50v1513970_d3_713rr@$;917,855,203,144,253
01/07/2024;2_3$7ruc7ur@;915,427,046,508,109
01/07/2024;3_@|8@91|3r1@;920,889,365,165,054
01/07/2024;4_y3$3r1@;106,023,673,180,235
01/07/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;115,714,805,534,192
01/07/2024;6_19$7@|@c109_d3_g@$;107,563,746,289,092
01/07/2024;7_19$7@|@c109_3|3c7r1c@;94,155,657,884,804
01/07/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;906,829,360,851,225
01/07/2024;9_c@rp1973r1@_d3_5@d3r@;11,165,554,802,161
01/07/2024;10_@$c39$0r3$;13,737,496,195,597
01/07/2024;11_v1dr10$;112,144,945,046,379
01/07/2024;12_p197ur@;998,668,157,787,719
01/07/2024;13_07r0$_7r@8@j0$_y_g@$70$;113,962,757,362,027
01/08/2024;1_50v1513970_d3_713rr@$;94,436,177,605,952
01/08/2024;2_3$7ruc7ur@;923,318,706,411,544
